address,amount
0x0dd16908663523e03c11c0dc14fa4276c1010a6b,450522567
0x12a79e67ed7f4fd0a0318d331941800898dab30d,445550207
0xacc6c0f43d4315bba6732f3c9619462243efa782,453491499
0xbca4d68be543dcefb1a8bccb519503f9ba3f2026,420362603
0xdf72ed2e8ba97639efa0dada92f3a46d22a501aa,410855980
0x82a045bb10b34f428aaea800e3c76d44a0e4e354,403505666
0x5f42a44fe2d0a98f8860b65d59697f9ca332e85b,391026856
0xa02a1b6cdb290720596dae852b70cb231d1afe93,381553393
0x0a88e1418581c31cbde5797befbf88c3d4c437b3,370850063
0x767136d641f5e9c0880f0c850a51267a1c7eaeed,368091279
0xec87af7785e1f4ab42be2d8401dbe1a16384f28a,368715113
0xe72185a9f4ce3500d6dc7ccdcfc64cf66d823be8,366768341
0x67463282c16e5b50b3aa0594e96582bac6b08a2f,358043213
0xa09e729b79872b29f5b532c48131ff80750efd35,340114479
0xe53a6c2dab078d9615178875f047ff89650e0c11,333042668
0x672913572bf787c053f98a26d3f9e8c5983f1d14,314963494
0x2ffe865328884fa81ee720f1e989863da8d5367d,312746356
0x9d9fd43a3365a0499284d37051ea2ae3bcc1da60,319334195
0xa939361c48175144b839e09040acbc3d49297c6f,302907218
0x8bde2372200e80d22212dc27b036080e929b779c,300747755
0xb5f9883a9318f3c7bc50a40be24f975885fe13a5,298564184
0xd6b1fbcbe39e33a3d5d9014b024f511be3564ee5,283500630
0x6ec088d142308b1a17583d2bd7953229a9906963,273834106
0x2f463642fa60cb1f1fd1c57af25b34b7a9a99586,275191730
0x8c9277158dd4647cf6cc9b9fe21f78ae25fe42c9,263043604
0x8cdd5b195f0b0922ced3a8feafa80ede9ebe0299,262217047
0xbea328ee576b54c6b848f6e8fd0983d615fca379,267610315
0x767136d641f5e9c0880f0c850a51267a1c7eaeed,244563154
0x5a60d345fb510a6cc230febc83c7ff7016eca0bf,249830292
0xccc8530c0f21f8a3eeb247d183a2f6c23cd96218,241321924
0x68b1c5deaf2b5de25d7eed4e6d453acb0502177d,237386065
0xd7e5be843e2fbef77167ce36a5fd559491caca02,237148250
0x84acb4278360ab4a09df2f963a14724f51098518,241675393
0x8ed1424adde83ab776545f982d913a19325a3ca8,234483759
0x15379608e6dda569951be7cfb3f16f8a02217e21,233996532
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,233901731
0x06ff56da1bb2fe0dbf3c30e362f7ea05d5168620,234010670
